word,year
absent-minded,1970
active,1970
adaptable,1970
adventurous,1970
affected,1970
affectionate,1970
aggressive,1970
alert,1970
aloof,1970
ambitious,1970
anxious,1970
apathetic,1970
appreciative,1970
argumentative,1970
arrogant,1970
artistic,1970
assertive,1970
attractive,1970
autocratic,1970
awkward,1970
bitter,1970
blustery,1970
boastful,1970
bossy,1970
calm,1970
capable,1970
careless,1970
cautious,1970
changeable,1970
charming,1970
cheerful,1970
civilized,1970
clear-thinking,1970
clever,1970
coarse,1970
cold,1970
commonplace,1970
complaining,1970
complicated,1970
conceited,1970
confident,1970
confused,1970
conscientious,1970
conservative,1970
considerate,1970
contented,1970
conventional,1970
cool,1970
cooperative,1970
courageous,1970
cowardly,1970
cruel,1970
curious,1970
cynical,1970
daring,1970
deceitful,1970
defensive,1970
deliberate,1970
demanding,1970
dependable,1970
dependent,1970
despondent,1970
determined,1970
dignified,1970
discreet,1970
disorderly,1970
dissatisfied,1970
distractible,1970
distrustful,1970
dominant,1970
dreamy,1970
dull,1970
easy-going,1970
effeminate,1970
efficient,1970
egotistical,1970
emotional,1970
energetic,1970
enterprising,1970
enthusiastic,1970
evasive,1970
excitable,1970
fair-minded,1970
fault-finding,1970
fearful,1970
feminine,1970
fickle,1970
flirtatious,1970
foolish,1970
forceful,1970
foresighted,1970
forgetful,1970
forgiving,1970
formal,1970
frank,1970
friendly,1970
frivolous,1970
fussy,1970
generous,1970
gentle,1970
gloomy,1970
good-looking,1970
good-natured,1970
greedy,1970
handsome,1970
hard-headed,1970
hard-hearted,1970
hasty,1970
headstrong,1970
healthy,1970
helpful,1970
high-strung,1970
honest,1970
hostile,1970
humorous,1970
hurried,1970
idealistic,1970
imaginative,1970
immature,1970
impatient,1970
impulsive,1970
independent,1970
indifferent,1970
individualistic,1970
industrious,1970
infantile,1970
informal,1970
ingenious,1970
inhibited,1970
initiative,1970
insightful,1970
intelligent,1970
interests narrow,1970
interests wide,1970
intolerant,1970
inventive,1970
irresponsible,1970
irritable,1970
jolly,1970
kind,1970
lazy,1970
leisurely,1970
logical,1970
loud,1970
loyal,1970
mannerly,1970
masculine,1970
mature,1970
meek,1970
methodical,1970
mild,1970
mischievous,1970
moderate,1970
modest,1970
moody,1970
nagging,1970
natural,1970
nervous,1970
noisy,1970
obliging,1970
obnoxious,1970
opinionated,1970
opportunistic,1970
optimistic,1970
organized,1970
original,1970
outgoing,1970
outspoken,1970
painstaking,1970
patient,1970
peaceable,1970
peculiar,1970
persevering,1970
persistent,1970
pessimistic,1970
planful,1970
pleasant,1970
pleasure-seeking,1970
poised,1970
polished,1970
practical,1970
praising,1970
precise,1970
prejudiced,1970
preoccupied,1970
progressive,1970
prudish,1970
quarrelsome,1970
queer,1970
quick,1970
quiet,1970
quitting,1970
rational,1970
rattlebrained,1970
realistic,1970
reasonable,1970
rebellious,1970
reckless,1970
reflective,1970
relaxed,1970
reliable,1970
resentful,1970
reserved,1970
resourceful,1970
responsible,1970
restless,1970
retiring,1970
rigid,1970
robust,1970
rude,1970
sarcastic,1970
self-centered,1970
self-confident,1970
self-controlled,1970
self-denying,1970
self-pitying,1970
self-punishing,1970
self-seeking,1970
selfish,1970
sensitive,1970
sentimental,1970
serious,1970
severe,1970
sexy,1970
shallow,1970
sharp-witted,1970
shiftless,1970
show-off,1970
shrewd,1970
shy,1970
silent,1970
simple,1970
sincere,1970
slipshod,1970
slow,1970
sly,1970
smug,1970
snobbish,1970
sociable,1970
soft-hearted,1970
sophisticated,1970
spendthrift,1970
spineless,1970
spontaneous,1970
spunky,1970
stable,1970
steady,1970
stern,1970
stingy,1970
stolid,1970
strong,1970
stubborn,1970
submissive,1970
suggestible,1970
sulky,1970
superstitious,1970
suspicious,1970
sympathetic,1970
tactful,1970
tactless,1970
talkative,1970
temperamental,1970
tense,1970
thankless,1970
thorough,1970
thoughtful,1970
thrifty,1970
timid,1970
tolerant,1970
touchy,1970
tough,1970
trusting,1970
unaffected,1970
unambitious,1970
unassuming,1970
unconventional,1970
undependable,1970
understanding,1970
unemotional,1970
unexcitable,1970
unfriendly,1970
uninhibited,1970
unintelligent,1970
unkind,1970
unrealistic,1970
unscrupulous,1970
unselfish,1970
unstable,1970
vindictive,1970
versatile,1970
warm,1970
wary,1970
weak,1970
whiny,1970
wholesome,1970
wise,1970
withdrawn,1970
witty,1970
worrying,1970
zany,1970
absent-minded,1990
active,1990
adaptable,1990
adventurous,1990
affected,1990
affectionate,1990
aggressive,1990
alert,1990
aloof,1990
ambitious,1990
anxious,1990
apathetic,1990
appreciative,1990
argumentative,1990
arrogant,1990
artistic,1990
assertive,1990
attractive,1990
autocratic,1990
awkward,1990
bitter,1990
blustery,1990
boastful,1990
bossy,1990
calm,1990
capable,1990
careless,1990
cautious,1990
changeable,1990
charming,1990
cheerful,1990
civilized,1990
clear-thinking,1990
clever,1990
coarse,1990
cold,1990
commonplace,1990
complaining,1990
complicated,1990
conceited,1990
confident,1990
confused,1990
conscientious,1990
conservative,1990
considerate,1990
contented,1990
conventional,1990
cool,1990
cooperative,1990
courageous,1990
cowardly,1990
cruel,1990
curious,1990
cynical,1990
daring,1990
deceitful,1990
defensive,1990
deliberate,1990
demanding,1990
dependable,1990
dependent,1990
despondent,1990
determined,1990
dignified,1990
discreet,1990
disorderly,1990
dissatisfied,1990
distractible,1990
distrustful,1990
dominant,1990
dreamy,1990
dull,1990
easy-going,1990
effeminate,1990
efficient,1990
egotistical,1990
emotional,1990
energetic,1990
enterprising,1990
enthusiastic,1990
evasive,1990
excitable,1990
fair-minded,1990
fault-finding,1990
fearful,1990
feminine,1990
fickle,1990
flirtatious,1990
foolish,1990
forceful,1990
foresighted,1990
forgetful,1990
forgiving,1990
formal,1990
frank,1990
friendly,1990
frivolous,1990
fussy,1990
generous,1990
gentle,1990
gloomy,1990
good-looking,1990
good-natured,1990
greedy,1990
handsome,1990
hard-headed,1990
hard-hearted,1990
hasty,1990
headstrong,1990
healthy,1990
helpful,1990
high-strung,1990
honest,1990
hostile,1990
humorous,1990
hurried,1990
idealistic,1990
imaginative,1990
immature,1990
impatient,1990
impulsive,1990
independent,1990
indifferent,1990
individualistic,1990
industrious,1990
infantile,1990
informal,1990
ingenious,1990
inhibited,1990
initiative,1990
insightful,1990
intelligent,1990
interests narrow,1990
interests wide,1990
intolerant,1990
inventive,1990
irresponsible,1990
irritable,1990
jolly,1990
kind,1990
lazy,1990
leisurely,1990
logical,1990
loud,1990
loyal,1990
mannerly,1990
masculine,1990
mature,1990
meek,1990
methodical,1990
mild,1990
mischievous,1990
moderate,1990
modest,1990
moody,1990
nagging,1990
natural,1990
nervous,1990
noisy,1990
obliging,1990
obnoxious,1990
opinionated,1990
opportunistic,1990
optimistic,1990
organized,1990
original,1990
outgoing,1990
outspoken,1990
painstaking,1990
patient,1990
peaceable,1990
peculiar,1990
persevering,1990
persistent,1990
pessimistic,1990
planful,1990
pleasant,1990
pleasure-seeking,1990
poised,1990
polished,1990
practical,1990
praising,1990
precise,1990
prejudiced,1990
preoccupied,1990
progressive,1990
prudish,1990
quarrelsome,1990
queer,1990
quick,1990
quiet,1990
quitting,1990
rational,1990
rattlebrained,1990
realistic,1990
reasonable,1990
rebellious,1990
reckless,1990
reflective,1990
relaxed,1990
reliable,1990
resentful,1990
reserved,1990
resourceful,1990
responsible,1990
restless,1990
retiring,1990
rigid,1990
robust,1990
rude,1990
sarcastic,1990
self-centered,1990
self-confident,1990
self-controlled,1990
self-denying,1990
self-pitying,1990
self-punishing,1990
self-seeking,1990
selfish,1990
sensitive,1990
sentimental,1990
serious,1990
severe,1990
sexy,1990
shallow,1990
sharp-witted,1990
shiftless,1990
show-off,1990
shrewd,1990
shy,1990
silent,1990
simple,1990
sincere,1990
slipshod,1990
slow,1990
sly,1990
smug,1990
snobbish,1990
sociable,1990
soft-hearted,1990
sophisticated,1990
spendthrift,1990
spineless,1990
spontaneous,1990
spunky,1990
stable,1990
steady,1990
stern,1990
stingy,1990
stolid,1990
strong,1990
stubborn,1990
submissive,1990
suggestible,1990
sulky,1990
superstitious,1990
suspicious,1990
sympathetic,1990
tactful,1990
tactless,1990
talkative,1990
temperamental,1990
tense,1990
thankless,1990
thorough,1990
thoughtful,1990
thrifty,1990
timid,1990
tolerant,1990
touchy,1990
tough,1990
trusting,1990
unaffected,1990
unambitious,1990
unassuming,1990
unconventional,1990
undependable,1990
understanding,1990
unemotional,1990
unexcitable,1990
unfriendly,1990
uninhibited,1990
unintelligent,1990
unkind,1990
unrealistic,1990
unscrupulous,1990
unselfish,1990
unstable,1990
vindictive,1990
versatile,1990
warm,1990
wary,1990
weak,1990
whiny,1990
wholesome,1990
wise,1990
withdrawn,1990
witty,1990
worrying,1990
zany,1990
