word,word_type,example_1,example_2,index
board,N,Room and board .,He nailed boards across the windows .,2-2
circulate,V,Circulate a rumor .,This letter is being circulated among the faculty .,0-4
hook,V,Hook a fish .,"He hooked a snake accidentally , and was so scared he dropped his rod into the water .",0-1
recreation,N,For recreation he wrote poetry and solved crossword puzzles .,Drug abuse is often regarded as a form of recreation .,1-9
domesticity,N,Making a hobby of domesticity .,A royal family living in unpretentious domesticity .,4-6
acquisition,N,The child 's acquisition of language .,That graphite tennis racquet is quite an acquisition .,3-7
meeting,N,There was no meeting of minds .,The meeting elected a chairperson .,3-1
nude,N,They swam in the nude .,The marketing rule ' nude sells ' spread from verbal to visual mainstream media in the 20th century .,4-4
mark,N,He left an indelible mark on the American theater .,It was in London that he made his mark .,4-8
association,N,Conditioning is a form of learning by association .,Many close associations with England .,7-2
inclination,N,The alkaline inclination of the local waters .,An inclination of his head indicated his agreement .,2-1
glaze,V,Glaze the bread with eggwhite .,The potter glazed the dishes .,0-2
piggyback,V,An amendment to piggyback the current law .,He piggybacked her child so she could see the show .,3-1
pick,V,To pick rags .,Do n't always pick on your little brother .,1-3
belabor,V,Belabor the obvious .,She was belabored by her fellow students .,0-2
bell,V,Bell cows .,Who will bell the cat ?,0-2
tear,N,He took the manuscript in both hands and gave it a mighty tear .,There were big tears rolling down Lisa 's cheeks .,12-3
kill,V,Kill the engine .,He killed the ball .,0-1
analyze,V,Analyze your real motives .,The inspector analyzed the building 's soundness .,0-2
lecture,V,Did you ever lecture at Harvard ?,She lectured to the class about her travels .,3-1
rehearsal,N,A rehearsal will be held the day before the wedding .,He missed too many rehearsals .,1-4
forge,V,We decided to forge ahead with our plans even though our biggest underwriter backed out .,He forged ahead .,3-1
falsity,N,The belief that the world is flat is a falsity .,Argument could not determine its truth or falsity .,9-7
assurance,N,An assurance of help when needed .,His assurance in his superiority did not make him popular .,1-1
branch,N,A branch of Congress .,We have branches in all major suburbs .,1-2
fuzz,N,He tried to clear his head of the whisky fuzz .,Peach fuzz .,9-1
risk,V,I can not risk smoking .,Why risk your life ?,3-1
chemistry,N,The chemistry of indigo .,The chemistry of iron .,1-1
char,N,"“ Among other native delicacies , they give you fresh char . ” .","“ I had to scrub the kitchen today , because the char could n't come ” .",10-11
response,N,This situation developed in response to events in Africa .,His responses have slowed with age .,4-1
excuse,N,That thing is a poor excuse for a gingerbread man . Has n't anyone taught you how to bake ?,He 's a sorry excuse of a doctor .,5-4
bondage,N,He sought release from his bondage to Satan .,A self freed from the bondage of time .,5-5
catch,N,The catch was only 10 fish .,He shared his catch with the others .,1-3
shadiness,N,There 's too much shadiness to take good photographs .,The shadiness of their transactions .,4-1
passage,N,The outward passage took 10 days .,She struggled to play the difficult passages .,2-6
daughter,N,"I already have a son , so I would like to have a daughter .",Her daughter cared for her in her old age .,13-1
hold,V,Please hold a table at Maxim 's .,Hold a table for us at 7:00 .,1-0
banish,V,Banish bad thoughts .,Banish gloom .,0-0
sense,N,A keen musical sense .,A good sense of timing .,3-2
opinion,N,"In my opinion , white chocolate is better than milk chocolate .",I would like to know your opinions on the new systems .,2-6
deed,N,He signed the deed .,I inherited the deed to the house .,3-3
question,N,His claim to the property has come under question .,He obeyed without question .,8-3
distribute,V,The publisher wants to distribute the book in Asia .,The function distributes the values evenly .,4-2
return,V,Return her love .,Return a compliment .,0-0
officer,N,He is an officer of the court .,The club elected its officers for the coming year .,3-4
clutch,V,To clutch power .,She clutched her purse .,1-1
dissipation,N,The dissipation of the mist .,Mindless dissipation of natural resources .,1-1
portfolio,N,He remembered her because she was carrying a large portfolio .,He holds the portfolio for foreign affairs .,9-3
play,N,They gave full play to the artist 's talent .,It was all done in play .,3-5
brush,N,She gave her hair a quick brush .,The dentist recommended two brushes a day .,6-4
rise,N,They asked for a 10 % rise in rates .,The rising of the Holy Ghost .,6-1
studio,N,His studio was cramped when he began as an artist .,You do n't need a studio to make a passport photograph .,1-5
cushion,V,To cushion a blow .,Cushion the blow .,1-0
plenty,N,There was plenty of food for everyone .,It must have cost plenty .,2-4
look,N,A look of triumph .,His look was fixed on her eyes .,1-1
recrudescence,N,A recrudescence of racism .,A recrudescence of the symptoms .,1-1
metadata,N,Most websites contain metadata to tell the computer how to lay the words out on the screen .,A library catalog is metadata because it describes publications .,3-4
streak,N,A streak of wildness .,He has a stubborn streak .,1-4
elapse,V,He allowed a month to elapse before beginning the work .,Several days elapsed before they met again .,5-2
corner,N,He tripled to the rightfield corner .,The southeastern corner of the Mediterranean .,5-2
average,N,He is about average in height .,The snowfall this month is below average .,3-6
replicate,V,"On entering a host cell , a virus will start to replicate .",Replicate the cell .,11-0
wait,V,She used to wait down at the Dew Drop Inn .,Wait here until your car arrives .,3-0
bottom,N,They started at the bottom of the hill .,They did much of their overseas trade in foreign bottoms .,4-9
straggle,N,A straggle of followers .,A straggle of outbuildings .,1-1
torture,N,In every war there are acts of torture that cause the world to shudder .,"Using large dogs to attack bound , hand - cuffed prisoners is clearly torture .",7-13
wash,V,This silly excuse wo n't wash in traffic court .,The cat washes several times a day .,5-2
seem,V,I seem to be misunderstood by everyone .,There seems no reason to go ahead with the project now .,1-1
jockey,N,He 's a truck jockey .,A disc jockey .,4-2
sugar,V,Sugar your tea .,John heavily sugars his coffee .,0-2
load,V,Load a car .,Load the truck with hay .,0-0
canon,N,The neoclassical canon .,Canons of polite society .,2-0
upstage,V,She only wore that dress to upstage everyone .,"When the dog entered the stage , he upstaged the actress .",6-8
ruin,V,This behavior will ruin your chances of winning the election .,The country lay ruined after the war .,3-3
modify,V,Please modify this letter to make it more polite .,He modified his views on same - gender marriage .,1-1
loose,V,Let loose mines .,Loose terrible plagues upon humanity .,1-0
breast,N,He beat his breast in anger .,The robin has a red breast .,3-5
invasion,N,An invasion of locusts .,An invasion of tourists .,1-1
stay,V,Wear gloves so your hands stay warm .,"Stay with me , please .",5-0
chore,N,"Washing dishes is a chore , but we can not just stop eating .",The farmer 's morning chores .,4-4
stripe,N,Businessmen of every stripe joined in opposition to the proposal .,They earned their stripes in Kuwait .,3-3
sight,N,He was a familiar sight on the television .,They went to Paris to see the sights .,4-7
potluck,N,Here 's a good potluck of beans and stew .,Having arrived unannounced we had to take potluck .,4-7
push,V,You need to push quite hard to get this door open .,Nora pushed through the crowd .,3-1
nut,N,He was driving his car like a nut .,I kicked him in the nuts .,7-5
share,V,Our children share a love of music .,The two countries share a long border .,2-3
develop,V,Children must develop a sense of right and wrong .,We have developed a new theory of evolution .,2-2
compress,V,The force required to compress a spring varies linearly with the displacement .,She compressed her lips .,4-1
pressure,N,He used pressure to stop the bleeding .,The sensitivity of his skin to pressure and temperature was normal .,2-6
love,V,I love French food .,I loved to write .,1-1
strike,V,Strike an arc .,The clock struck midnight .,0-2
shtik,N,He 's a shtik crazy .,How did you ever fall for a shtik like that ?,3-7
tremor,N,She felt a tremor in her stomach before going on stage .,Did you feel the tremor this morning ?,3-4
whitewash,V,Let 's not whitewash the crimes of Stalin .,"In his sermon , the minister did n't try to whitewash over the sins of his church .",3-10
bridge,N,Her glasses left marks on the bridge of her nose .,Rugby players often break the bridge of their noses .,6-5
adoxography,N,"Elizabethan schoolboys were taught adoxography , the art of eruditely praising worthless things .",Adoxography is particularly useful to lawyers .,4-0
dexterity,N,She twirled the knife through her fingers with impressive dexterity .,Playing computer games can improve your manual dexterity .,9-7
reflect,V,"People do that sort of thing every day , without ever stopping to reflect on the consequences .",The teacher 's ability reflects well on the school .,13-4
harbour,N,The city has an excellent natural harbour .,The neighbourhood is a well - known harbour for petty thieves .,6-7
absorb,V,Absorb the costs for something .,He absorbed the knowledge or beliefs of his tribe .,0-1
round,N,The round of the seasons .,The postman 's rounds .,1-3
resolution,N,Printing at higher resolution will cause a reduction in performance .,They never did achieve a final resolution of their differences .,3-6
applaud,V,I applaud your efforts .,"Although we do n't like your methods , we applaud your motives .",1-9
trailer,N,The trailer for that movie makes it seem like it would be fun .,"At the end of the day , we put the snowmobiles back on the trailer .",1-14
dinner,N,Guests should never be late to a dinner party .,On Sundays they had a large dinner when they returned from church .,7-6
growth,N,A growth of hair .,The growth of culture .,1-1
buzz,N,The buzz of excitement was so great that a formal denial was issued .,The buzz of a bumble bee .,1-1
beat,N,In the old days a policeman walked a beat and knew all his people by name .,A beat of the heart .,8-1
footprint,N,The computer had a desktop footprint of 10 by 16 inches .,The footprints of an earlier civilization .,5-1
nowhere,N,He came out of nowhere .,They went on a cruise to nowhere .,4-6
mince,N,A mince of mushrooms .,Mince tastes really good fried in a pan with some chopped onion and tomato .,1-0
militarize,V,Militarize the Civil Service .,Militarize Germany again after the war .,0-0
intention,N,The intention of this legislation is to boost the economy .,Good intentions are not enough .,1-1
submerge,V,Submerge your head completely .,The submarine submerged in the water .,0-2
amuse,V,I watch these movies because they amuse me .,The clown amused the children .,6-2
calibrate,V,Calibrate a gun .,He calibrated the thermometer for the Celsius scale .,0-1
circumference,N,A danger to all races over the whole circumference of the globe .,He had walked the full circumference of his land .,8-5
tap,V,Tap a keg of beer .,Tap a maple tree for its syrup .,0-0
branch,N,We opened a new branch in London .,Our main branch is downtown .,4-2
peradventure,N,This proves beyond peradventure that he is innocent .,Proved beyond peradventure . — South .,3-2
finish,N,My horse was several lengths behind at the finish .,The winner is the team with the most points at the finish .,8-11
kick,N,The kick must be synchronized with the arm movements .,A sidecar is a smooth drink but it has a powerful kick .,1-11
month,N,He was given a month to pay the bill .,We went on holiday for two months .,4-6
contradistinction,N,Sculpture in contradistinction to painting .,We used hamburgers and soda in contradistinction to healthy food .,2-6
remove,V,Remove a wrapper .,The President removed many postmasters .,0-2
crash,V,"You can crash here , though it 's not very comfortable .",The terrorists crashed the plane into the palace .,2-2
smoothness,N,The weather system of the Pacific is determined by the uninterrupted smoothness of the ocean .,His oily smoothness concealed his guilt from the police .,11-2
exhibition,N,There was an art exhibition on in the town hall .,A boat exhibition .,4-2
cloister,V,Cloister the garden .,She cloistered herself in the office .,0-1
maneuver,N,He made a great maneuver .,Parallel parking can be a difficult maneuver .,4-6
mess,N,The house was a mess .,My boss dumped a whole mess of projects on my desk today .,4-5
burn,V,Burn a CD .,My eyes are burning .,0-3
knuckleball,N,Even the pitcher does n't know where his knuckleball is going .,Boston Red Sox pitcher Tim Wakefield is best known for his use of the knuckleball .,8-14
map,V,Map the genes .,Map the surface of Venus .,0-0
mandate,V,Mandate a colony .,The new director of the school board mandated regular tests .,0-7
way,N,They did n't have much in the way of clothing .,We went our separate ways .,7-4
shock,V,To shock rye .,Shock grain .,1-0
tipper,N,A generous tipper .,The Americans are among the most generous tippers in the world .,2-7
avail,V,It will avail them to dispose of their booty .,He availed himself of the available resources .,2-1
button,N,"The politician wore a bright yellow button with the slogan "" Vote Smart "" emblazoned on it .",They passed out campaign buttons for their candidate .,6-4
crop,N,The annual crop of students brings many new ideas .,The latest crop of fashions is about to hit the stores .,2-2
boot,V,Boot your computer .,"When arriving at the office , first thing I do is booting my machine .",0-11
heartbeat,N,The policeman waited for a heartbeat in vain .,He alone gives me such heartbeats .,5-5
drag,V,Time seems to drag when you 're waiting for a bus .,The speech dragged on for two hours .,3-2
chisel,V,Chisel the marble .,Who 's chiseling on the side ?,0-2
literature,N,One aspect of Waterloo has not yet been treated in the literature .,The technical literature .,11-2
snatch,N,Martin 's snatch at the bridle failed and the horse raced away .,Overheard snatches of their conversation .,2-1
excite,V,There are drugs designed to excite certain nerves in our body .,Excite the audience .,5-0
building,N,The entire building complained about the noise .,The building of the bridge will be completed in a couple of weeks .,2-1
scallop,V,Scallop the hem of the dress .,Scallop the meat .,0-0
date,V,Scientists often can not date precisely archeological or prehistorical findings .,To date the building of the pyramids .,4-1
exchange,N,They had a bitter exchange .,An exchange of cattle for grain .,4-1
apology,N,It was an apology for a meal .,The Apology of Socrates .,3-1
spade,N,She led a low spade .,Spades were trumps .,4-0
cocoon,V,She loves to stay at home and cocoon .,Families cocoon around the T.V. set most evenings .,7-1
build,V,Build up confidence .,They had to build up their fortress to protect against attack .,0-3
winterize,V,Winterize cars .,Winterize your houses .,0-0
wish,N,He got his wish .,My best wishes .,3-2
reinstatement,N,Her reinstatement to her former office followed quickly .,Many people are unhappy with the sacking of the chief constable and demand his immediate reinstatement .,1-15
watch,V,Put a little baking soda in some vinegar and watch what happens .,The world is watching Sarajevo .,9-3
installation,N,He gave a speech as part of his installation into the hall of fame .,The telephone installation took only a few minutes .,8-2
conceive,V,She can not conceive .,Assisted procreation can help those trying to conceive .,3-7
touch,V,He could not touch the meaning of the poem .,Helen Keller felt the physical world by touching people and objects around her .,3-7
percolate,V,Percolate coffee .,I 'll percolate some coffee .,0-2
drought,N,When England defeated Pakistan it ended a ten - year drought .,Farmers most affected by the drought hope that there may yet be sufficient rain early in the growing season .,10-5
excite,V,Excite the neurons .,The fireworks which opened the festivities excited anyone present .,0-6
pull,N,A zipper pull .,He grabbed the pull and opened the drawer .,2-3
fight,N,A fight broke out at the hockey game .,There were fights in the streets .,1-2
breed,N,He experimented on a particular breed of white rats .,A breed of animal .,5-1
mainstream,N,His thinking was in the American mainstream .,"His ideas were well outside the mainstream , but he presented them intelligently , and we were impressed if not convinced .",6-6
help,N,There 's no help for it .,I need some help with my homework .,3-3
cognate,N,"English is a cognate of Greek , German , Russian and Persian .","English and , Russian , Icelandic and Irish are all cognates .",3-10
convey,V,To convey information .,She conveyed the message to me .,1-1
profession,N,A profession of disagreement .,My father was a barrister by profession .,1-6
protest,N,The senator rose to register his protest .,They finished the game under protest to the league president .,6-5
operation,N,The plane 's operation in high winds .,The power of its engine determines its operation .,3-7
strip,N,He welded together some pieces of strip .,She did a strip right in front of everyone .,6-3
toss,V,I 'll toss you for it .,Steve tossed John the ball .,2-1
squeaker,N,Which hinge is the squeaker ?,Those sneakers are squeakers .,4-3
delta,N,The Nile delta .,The Mississippi River delta .,2-3
sign,V,Please sign on the dotted line .,Please sign here .,1-1
capacity,N,Limited runway capacity .,He should be retained in his present capacity at a higher salary .,2-7
frame,N,A lace frame .,His starved flesh hung loosely on his once imposing frame .,2-9
solemnize,V,"The couple chose to solemnize their relationship in a secular ceremony , instead of having a wedding .",The King solemnized this day of morning .,4-2
drawing,N,The drawing of water from the well .,He did complicated pen - and - ink drawings like medieval miniatures .,1-8
cup,N,He put the cup back in the saucer .,The handle of the cup was missing .,3-4
plan,V,Plan an attack .,He plans to be in graduate school next year .,0-1
hit,V,Hit the bottle .,He tries to hit on women in bars .,0-3
criticize,V,"Those who criticize others often are not perfect , either .",The paper criticized the new movie .,2-2
wake,N,There 's no weeping at an Irish wake .,The motorboat 's wake capsized the canoe .,7-3
stream,N,He felt a stream of air .,The hose ejected a stream of water .,3-4
block,V,Block the signals emitted by this station .,The thick curtain blocked the action on the stage .,0-3
obstacle,N,Lack of imagination is an obstacle to one 's advancement .,The poverty of a district is an obstacle to good education .,5-7
point,V,Point a gun .,It 's rude to point at other people .,0-4
draw,N,The luck of the draw .,They anticipated a tough draw .,4-4
embellish,V,"To embellish a story , the truth .",The old book cover was embellished with golden letters .,1-5
glimpse,N,From the window he could catch a glimpse of the lake .,He caught only a glimpse of the professor 's meaning .,7-4
shuffle,V,"You shuffle , I 'll deal .",Shuffle the cards .,1-0
bracket,V,Please bracket this remark .,Bracket bookshelves .,1-0
vary,V,Prices vary .,His moods vary depending on the weather .,1-2
abridge,V,The new law might abridge our freedom of expression .,He had his rights abridged by the crooked sheriff .,4-4
attack,N,He published an unexpected attack on my work .,An attack of diarrhea .,4-1
revenge,N,Indifference is the sweetest revenge .,"When I left my wife , she tried to set fire to the house in revenge .",4-15
review,V,Let 's review your situation .,"Before I tackle the question directly , I must briefly review historical approaches to the problem .",2-10
tilt,N,The court 's tilt toward conservative rulings .,The tower had a pronounced tilt .,3-5
consult,V,They had to consult before arriving at a decision .,Consult your local broker .,3-0
reline,V,Reline the paper .,The old fur coat must be relined .,0-6
liberty,N,At liberty to choose whatever occupation one wishes .,Liberty to think or feel or do just as one pleases .,1-0
answer,V,Answer the question .,She did n't want to answer .,0-5
carve,V,Carve one 's name into the bark .,That chisel carved the statue .,0-2
square,N,The carpenter who built this room must have lost his square .,64 is the square of 8 .,10-3
donate,V,Donate money to the orphanage .,I donated blood to the Red Cross for the victims of the earthquake .,0-1
proliferate,V,We must not proliferate nuclear arms .,The flowers proliferated rapidly all spring .,3-2
hew,V,Hew out a path in the rock .,One of the most widely used typefaces in the world was hewn by the English printer and typographer John Baskerville .,0-11
keep,V,Can I keep my old stuffed animals ?,She kept her maiden name after she married .,2-1
sophistication,N,He practiced the art of sophistication upon reason .,Understanding affine transformations requires considerable mathematical sophistication .,5-6
shot,N,He trained at putting the shot .,"The shot flew twenty metres , and nearly landed on the judge 's foot .",5-1
muscle,N,The senators used their muscle to get the party leader to resign .,Muscle consists largely of actin and myosin filaments .,4-0
fiddle,V,Do n't fiddle with the screws .,She always fiddles with her van on the weekend .,2-2
harass,V,Harass the enemy .,This man harasses his female co - workers .,0-2
minister,N,The minister said a prayer on behalf of the entire congregation .,Clergymen are usually called ministers in Protestant churches .,1-4
sequence,N,He played the trumps in sequence .,The doctor saw a sequence of patients .,5-4
abatement,N,The abatement of a nuisance is the suppression thereof .,Laws enforcing noise abatement .,1-3
incorporate,V,Incorporate this document with those pertaining to the same case .,The company was incorporated in 1980 .,0-3
chew,V,The steak was tough to chew as it had been cooked too long .,Chew your food and do n't swallow it !,5-0
conclusion,N,The conclusion of the peace treaty .,The conclusion of a business deal .,1-1
fiefdom,N,The duke 's fiefdom had been greatly expanded as a reward for his dutiful military service on behalf of the king .,"Most of our company 's computers are standardized , but the IT director allows the employees in his own little fiefdom to specify their own machines .",3-20
marriage,N,A marriage of ideas .,The marriage of music and dance .,1-1
button,N,"Pat pushed the button marked "" shred "" on the blender .",The elevator was operated by push buttons .,3-6
plant,V,Plant bugs in the dissident 's apartment .,Plant a spy in Moscow .,0-0
accumulate,V,He wishes to accumulate a sum of money .,Journals are accumulating in my office .,3-2
wrangle,V,Wrangle horses .,"The bar keeper threw them out , but they continued to wrangle on down the street .",0-11
ticket,N,This car could be just the ticket for a small family .,Joe will be running on an anti - crime ticket .,6-9
shake,V,Shake the salt out of the salt shaker .,His hands shook .,0-2
process,V,Process iron .,They processed into the dining room .,0-1
spread,V,The infection spread .,Optimism spread among the population .,2-1
seize,V,Birds of prey often seize small mammals .,The invaders seized the land and property of the inhabitants .,4-2
follow,V,We must follow closely the economic development is Cuba .,It follows that your assertion is false .,2-1
pull,N,It was a long pull but we made it .,He was sidelined with a hamstring pull .,4-6
misdirect,V,Misdirect the letter .,The pedestrian misdirected the out - of - town driver .,0-2
distribution,N,Worldwide in distribution .,The distribution of nerve fibers .,2-1
sit,V,When does the court of law sit ?,In what city is the circuit court sitting for this session .,6-7
command,V,To command an army or a ship .,Command the military forces .,1-0
touch,N,He has a touch of rheumatism .,He longed for the touch of her hand .,3-4
last,V,Summer seems to last longer each year .,The bad weather lasted for three days .,3-3
lead,N,A good lead for a job .,"Joe is a great addition to our sales team , he has numerous leads in the paper industry .",2-13
contact,V,I am trying to contact my sister .,He never contacted his children after he emigrated to Australia .,4-2
send,V,Send me your latest results .,Nora sent the book from Paris .,0-1
patronage,N,The restaurant had an upper class patronage .,Even before noon there was a considerable patronage .,6-7
exile,N,He lived in exile .,She lived as an exile .,3-4
bastion,N,The last bastion of communism .,A bastion against corruption .,2-1
admit,V,Admit someone to the profession .,She was admitted to the New Jersey Bar .,0-2
occurrence,N,A disease of frequent occurrence .,The occurrence ( or presence ) of life on other planets .,4-1
ease,V,Ease the pain in your legs .,The pain eased overnight .,0-2
safety,N,He ran to safety .,The reciprocal of safety is risk .,3-3
save,N,The relief pitcher got credit for a save .,The goalie made a brilliant save .,7-5
stop,V,Stop a car .,Stop the thief .,0-0
exalt,V,These paintings exalt the imagination .,The man was exalted from a humble carpenter to a minister .,2-3
taste,N,To ask at that particular time was the ultimate in bad taste .,He got a taste of life on the wild side .,11-3
advantage,N,The enemy had the advantage of a more elevated position .,The experience gave him the advantage over me .,4-5
deliberation,N,It was the deliberation of his act that was insulting .,The deliberations of the jury .,3-1
allowance,V,The captain was obliged to allowance his crew .,Our provisions were allowanced .,5-3
arousal,N,To influence the arousal of brain and behavior .,The purpose of art is the arousal of emotions .,3-6
whimsy,N,Whimsy can be humorous to someone with time to enjoy it .,He had a whimsy about flying to the moon .,0-3
strain,V,Do n't strain your mind too much .,The rope strained when the weight was attached .,2-2
vision,N,The runners emerged from the trees into his clear vision .,He had a vision of the Virgin Mary .,9-3
relieve,V,This shall not relieve either Party of any obligations .,The thief relieved me of $ 100 .,3-2
vote,V,I vote that we all go home .,She voted for going to the Chinese restaurant .,1-1
gap,N,Gap between income and outgo .,The exploring party went through the high gap in the mountains .,0-7
partnership,N,The action teams worked in partnership with the government .,"Effective language learning is a partnership between school , teacher and student .",5-5
piece,N,The children acted out a comic piece to amuse the guests .,He sacrificed a piece to get a strategic advantage .,6-3
body,N,The body of the car was badly rusted .,Administrative body .,1-1
right,N,Take a right at the corner .,Film rights .,2-1
fuel,N,More fuel is needed during the winter months .,They developed alternative fuels for aircraft .,1-3
peg,V,Let 's peg the rug to the floor .,Peg a tent .,2-0
largeness,N,The might have repercussions of unimaginable largeness .,A man distinguished by the largeness and scope of his views .,6-5
affect,V,Will the new rules affect me ?,The medicine affects my heart rate .,4-2
hell,N,War is hell .,The hell of battle .,2-1
cost,N,The average cost of a new house is twice as much as t was 20 years ago .,The total cost of the new complex was an estimated $ 1.5 million .,2-2
parade,N,"The floats and horses in the parade were impressive , but the marching bands were really amazing .",She made a parade of her sorrows .,6-3
preparation,N,He left the preparation of meals to his wife .,The resolution of one dissonance is often the preparation for another dissonance .,3-8
sort,N,She served a creamy sort of dessert thing .,She wore a sort of magenta dress .,4-3
refrigerate,V,Please refrigerate your uncooked meats at or below 40 Fahrenheit .,Refrigerate this medicine .,1-0
ash,N,The woods planted in ash will see a different mix of species .,The ash trees are dying off .,4-1
tradecraft,N,The CIA chief of station accepted responsibility for his agents ' failures of tradecraft .,Instructional designers are trained in something that might be called tradecraft .,13-10
sense,V,Particle detectors sense ionization .,She immediately sensed her disdain .,2-2
utter,V,Utter counterfeit currency .,He uttered strange sounds that nobody could understand .,0-1
capital,N,The drug capital of Columbia .,The crime capital of Italy .,2-2
prepare,V,Prepare for war .,We prepared a fish for dinner .,0-1
gem,N,He had the gem set in a ring for his wife .,She 's an absolute gem .,3-4
part,N,The government must do its part .,Religions in all parts of the world .,5-3
rise,V,Rise to the occasion .,Her spirits rose when she heard the good news .,0-2
hook,V,Hook the ball .,His opponent hooked him badly .,0-2
tool,N,"He was a tool , no more than a pawn to her .",I do n't have the right tools to start fiddling around with the engine .,3-6
life,N,Real life .,It was a heavy play and the actors tried in vain to give life to it .,1-13
result,V,Result in tragedy .,This measure will result in good or in evil .,0-3
story,N,The book tells the story of two roommates .,Disney 's stories entertain adults as well as children .,4-2
load,N,That 's a load off my mind .,I 'm worried that the load on that transformer will be too high .,3-5
office,N,An executive or judical office .,During his first year in office .,4-5
configure,V,Configure a plane for a combat mission .,Configure my new computer .,0-0
torrent,N,The houses were swept away in the torrent .,They endured a torrent of inquiries .,7-3
choke,V,Choke a carburetor .,This neckband is choking the cat .,0-3
embodiment,N,The embodiment of hope .,A circle was the embodiment of his concept of life .,1-4
date,N,His date never stopped talking .,The date for pleading .,1-1
engrave,V,Engrave a letter .,Engrave a pen .,0-0
blend,N,` smog ' is a blend of ` smoke ' and ` fog ' .,Their music has been described as a blend of jazz and heavy metal .,5-7
aim,V,She wanted to aim a pun .,He aimed his fists towards his opponent 's face .,3-1
department,N,His work established a new department of literature .,Baking is not my department .,5-4
plume,N,A plume of smoke .,Grass with large plumes .,1-3
curd,N,Bean curd .,Lemon curd .,1-1
rush,N,The linebackers were ready to stop a rush .,Come back after the rush .,7-4
remover,N,Rust remover .,Paint remover .,1-1
care,N,He handled the vase with care .,Care should be taken when holding babies .,5-0
noise,N,"He knew that it was trash day , when the garbage collectors made all the noise .",They heard indistinct noises of people talking .,15-3
donate,V,Some of the members may donate privately .,She donates to her favorite charity every month .,5-1
earshot,N,I 'll row out on the lake but stay within earshot .,The children were told to stay within earshot .,10-7
home,N,Canadian tariffs enabled United States lumber companies to raise prices at home .,His home is New Jersey .,11-1
member,N,Canada is a member of the United Nations .,The library was a member of the interlibrary loan association .,3-4
class,N,An emerging professional class .,"Apologizing for losing your temper , even though you were badly provoked , showed real class .",3-15
disable,V,Disable this command on your computer .,He was disabled in a car accident .,0-2
moderate,V,To moderate a synod .,John moderated the discussion .,1-1
horse,N,A clothes horse .,500 horse led the attack .,2-1
tree,V,Her dog likes to tree squirrels .,This lot should be treed so that the house will be shaded in summer .,4-4
