word,word_type,example_1,example_2,index
attitude,N,The airliner had to land with a nose - up attitude after the incident .,The actor struck just the right attitude .,10-6
afford,V,We ca n't afford to send our children to college .,Can you afford this car ?,3-2
renovate,V,This will renovate my spirits .,They renovated the ceiling of the Sistine Chapel .,2-1
wateriness,N,The wateriness of his blood .,The haziness and wateriness of his disquisitions .,1-3
continent,N,Pioneers had to cross the continent on foot .,There are seven continents .,5-3
break,N,Make a break for it .,He finally got his big break .,2-5
operation,N,They organized a rescue operation .,Consolidate the companies various operations .,4-4
check,N,As he called the role he put a check mark by each student 's name .,A check on its dependability under stress .,8-1
influence,N,He was a bad influence on the children .,Used her parents ' influence to get the job .,4-4
scrub,V,Surgeons must scrub prior to an operation .,She scrubbed his back .,2-1
facility,N,The assembly plant is an enormous facility .,Educational facilities .,6-1
wine,N,She ordered some wine for the meal .,Wine is stronger than beer .,3-0
closure,N,They regretted the closure of the day care center .,He needed to grieve before he could achieve a sense of closure .,3-11
cuisine,N,The restaurant is noted for its excellent cuisine .,French cuisine is considered to be one of the world 's most refined and elegant styles of cooking .,7-1
peak,N,The peak of perfection .,The view from the peak was magnificent .,1-4
liberate,V,To liberate the mind from prejudice .,To liberate gases .,1-1
trip,V,A pedestrian was able to trip the burglar as he was running away .,The questions on the test tripped him up .,5-5
ball,N,The ball at the base of the thumb .,He stood on the balls of his feet .,1-4
move,N,It 's your move ! Roll the dice !,"If you roll a six , you can make two moves .",3-10
slip,V,Slip into something comfortable .,My grades are slipping .,0-3
flush,V,Flush the meadows .,The sky flushed with rosy splendor .,0-2
comb,V,Comb the wool .,Comb your hair before dinner .,0-0
walk,N,After the blizzard he shoveled the front walk .,Walking is a healthy form of exercise .,7-0
blockage,N,"There was a blockage in the sewer , so we called out the plumber .",We had to call a plumber to clear out the blockage in the drainpipe .,3-10
collapse,V,Collapse the music stand .,The school system is collapsing .,0-4
sleep,V,We sleep five people in each room .,This tent sleeps six people .,1-2
shape,N,Geometry is the mathematical science of shape .,He could barely make out their shapes .,6-6
leave,V,Leave your child the nurse 's care .,He left the decision to his deputy .,0-1
aliyah,N,Students making aliyah .,He was called on for an aliyah .,2-6
lay,V,To lay a tax on land .,Lay a responsibility on someone .,1-0
thing,N,A thing of the spirit .,Things of the heart .,1-0
acquaintance,N,I know of the man ; but have no acquaintance with him .,I have trouble remembering the names of all my acquaintances .,9-9
sign,V,Sign an intersection .,This road has been signed .,0-4
street,N,Be careful crossing the street .,The whole street protested the absence of lights .,4-2
fuss,V,Do n't fuss too much over the grandchildren -- they are quite big now .,She fusses over her husband .,2-1
affair,N,It is none of your affair .,He used a hook - shaped affair with a long handle to unlock the car .,5-6
direct,V,"Direct your anger towards others , not towards yourself .",He directed all his energies into his dissertation .,0-1
characterize,V,You can characterize his behavior as that of an egotist .,This poem can be characterized as a lament for a dead lover .,2-4
strangle,V,The imperialist nation wanted to strangle the free trade between the two small countries .,A man in Boston has been strangling several dozen prostitutes .,5-6
board,N,The board has seven members .,He got out the board and set up the pieces .,1-4
grip,N,In Britain they call a bobby pin a grip .,They kept a firm grip on the two top priorities .,8-4
swear,V,I swear by my grandmother 's recipes .,Before God I swear I am innocent .,1-3
gown,N,The relations between town and gown are always sensitive .,"In the perennial town versus gown battles , townies win some violent battles , but the collegians are winning the war .",5-5
triangulate,V,Triangulate the piece of cardboard .,The land surveyor worked by triangulating the plot .,0-5
snap,N,The infielder 's snap and throw was a single motion .,Children can manage snaps better than buttons .,3-3
say,V,What does the law say ?,The clock says noon .,4-2
aptness,N,The aptness of men to follow example .,The aptness of iron to rust .,1-1
pay,N,He wasted his pay on drink .,Many employers have rules designed to keep employees from comparing their pays .,3-11
collapse,N,The collapse of the old star under its own gravity .,The roof is in danger of collapse .,1-6
go,N,It 's my go .,I 'll give it a go .,3-5
go,V,How did your interview go ?,"She was going that way anyway , so she offered to show him where it was .",4-2
shot,N,The nurse gave him a flu shot .,He tried to get unposed shots of his friends .,6-5
mixture,N,He drank a mixture of beer and lemonade .,The mixture of sulphuric acid and water produces heat .,3-1
abuse,N,"All abuse , whether physical , verbal , psychological or sexual , is bad .",The child showed signs of physical abuse .,1-6
breeze,N,The breeze rustled the papers on her desk .,The breeze was cooled by the lake .,1-1
floss,V,She flossed her teeth .,The hygienist flossed my teeth .,1-2
refresher,N,The nap was a welcome refresher .,He stopped at the bar for a quick refresher .,5-8
violate,V,Violate the sanctity of the church .,This sentence violates the rules of syntax .,0-2
barrage,N,A barrage of questions .,They laid down a barrage in front of the advancing troops .,1-4
work,N,The symphony was hailed as an ingenious work .,Erosion is the work of wind or water over time .,7-3
transfer,N,The transfer of the music from record to tape suppressed much of the background noise .,The best student was a transfer from LSU .,1-5
homogenization,N,The homogenization of cream .,The network 's homogenization of political news .,1-3
intellect,N,He has a keen intellect .,Some of the world 's leading intellects were meeting there .,4-6
toilet,N,He made his morning toilet and went to breakfast .,Pensions are in the toilet .,4-4
military,N,Their military is the largest in the region .,He spent six years in the military .,1-6
leave,V,Leave lots of time for the trip .,This leaves no room for improvement .,0-1
scraping,N,All that bowing and scraping did not impress him .,They collected blood scrapings for analysis .,4-3
breed,N,Google represents a new breed of entrepreneurs .,A breed of tulip .,4-1
section,N,There are three synagogues in the Jewish section .,Sections from the left ventricle showed diseased tissue .,7-0
pound,V,The locks pound the water of the canal .,Pound the roots with a heavy flat stone .,2-0
connection,N,The bus was late so he missed his connection at Penn Station and had to wait six hours for the next train .,The plane was late and he missed his connection in Atlanta .,8-8
mechanism,N,A mechanism of social control .,Mechanisms of communication .,1-0
gargle,V,Gargle with this liquid .,Every morning he gargled a little cheap Scotch .,0-3
bang,N,He got a bang on the head .,They got a great bang out of it .,3-4
activity,N,Catalytic activity .,They avoided all recreational activity .,1-4
terror,N,He used terror to make them confess .,He was the terror of the neighborhood .,2-3
landing,N,The plane made a smooth landing .,His landing on his feet was catlike .,5-1
flowage,N,Rock fracture and rock flowage are different types of geological deformation .,Many campsites were located near the flowage .,4-6
denizen,N,The bald eagle is a denizen of the northern part of the state .,The giant squid is one of many denizens of the deep .,5-7
sensation,N,The news caused a sensation .,A sensation of touch .,4-1
state,V,State your name .,State your opinion .,0-0
foot,N,We went there by foot because we could not afford a taxi .,There is a lot of foot traffic on this street .,4-5
dollar,N,He worships the almighty dollar .,The dollar coin has never been popular in the United States .,4-1
view,N,They look the same in outward view .,The most desirable feature of the park are the beautiful views .,6-10
need,V,I need him to be nice .,I needed him to go .,1-1
role,N,My neighbor was the lead role in last year 's village play .,Play its role .,5-2
policy,N,You should have read the small print on your policy .,It was a policy of retribution .,9-3
urgency,N,They departed hurriedly because of some great urgency in their affairs .,"I 'll be there , barring any urgencies .",7-7
book,N,I am reading a good book on economics .,He was frustrated because he could n't find anything about dinosaurs in the book .,5-13
scrap,N,The unhappy couple got into a terrible scrap .,That car is n't good for anything but scrap .,7-8
mess,V,I mess with the wardroom officers .,The afternoon breeze messed up my hair .,1-3
recognition,N,Territorial disputes were resolved in Guatemala 's recognition of Belize in 1991 .,The partners were delighted with the recognition of their work .,7-6
hitter,N,A hard hitter .,Blacksmiths are good hitters .,2-3
affiliation,N,A valuable financial affiliation .,Welcomed the affiliation of the research center with the university .,3-2
mate,N,He 's my best mate .,I 'm going to the pub with a few mates .,4-9
middle,N,"In the middle of the marathon , David collapsed from fatigue .",Rain during the middle of April .,2-3
diet,N,The diet of the Giant Panda consists mainly of bamboo .,He 's been reading a steady diet of nonfiction for the last several years .,1-6
induction,N,He was ordered to report for induction into the army .,The induction of an anesthetic state .,6-1
bull,V,To bull railroad bonds .,He bulled his way in .,1-1
impregnation,N,The impregnation of wood with preservative .,"The impregnation , whatever it was , had turned the rock blue .",1-1
escalation,N,Higher wages caused an escalation of prices .,There was a gradual escalation of hostilities .,4-4
motivation,N,We did not understand his motivation .,His motivation was at a high level .,5-1
identity,N,"A right identity , x * I = x for any x in the structure .",You can lose your identity when you join the army .,2-4
holiday,N,Today is a Wiccan holiday !,No mail is delivered on federal holidays .,4-6
fire,N,Clinton directed his fire at the Republican Party .,There was a fire at the school last night and the whole place burned down .,3-3
average,V,"If you average 10 , 20 and 24 , you get 18 .",The number of hours I work per work averages out to 40 .,2-8
addition,N,The addition of a leap day every four years .,The addition of a bathroom was a major improvement .,1-1
segment,V,Segment a compound word .,Segment an orange .,0-0
shoot,V,Shoot cloth .,Shoot a star .,0-0
education,N,A girl 's education was less important than a boy 's .,Education is a preparation for life .,3-0
succession,N,A succession of failures .,A succession of stalls offering soft drinks .,1-1
erase,V,The files will erase quickly .,The chalkboard erased easily .,3-2
crush,V,To crush grapes .,The car crushed the toy .,1-2
figure,V,Elections figure prominently in every government program .,How do the elections figure in the current pattern of internal politics ?,1-4
eliminate,V,Let 's eliminate the course on Akkadian hieroglyphics .,This possibility can be eliminated from our consideration .,2-4
house,N,He counted the house .,The house applauded .,3-1
cooperation,N,Economic cooperation .,They agreed on a policy of cooperation .,1-6
indent,V,Indent the documents .,Indent the paragraphs of a letter .,0-0
militia,N,Their troops were untrained militia .,Congress shall have power to provide for calling forth the militia -- United States Constitution .,4-10
probation,N,Probation is part of the sentencing process .,"You 'll be on probation for first six months . After that , if you work out , they 'll hire you permanently .",0-4
bag,V,Bag a few pheasants .,We bagged three deer yesterday .,0-1
herald,N,Rouge Dragon is a herald at the College of Arms .,The chieftain had a herald who announced his arrival with a trumpet .,4-4
detention,N,His detention was politically motivated .,The detention of tardy pupils .,1-1
spread,V,The invaders spread their language all over the country .,A big oil spot spread across the water .,2-4
accession,N,Accession to such demands would set a dangerous precedent .,The librarian shelved the new accessions .,0-5
switch,V,Switch to a different brand of beer .,I want to switch this red dress for a green one .,0-3
hang,V,Let 's hang this cute animal in the nursery .,Hang wallpaper .,2-0
association,N,You can not be convicted of criminal guilt by association .,He joined the Modern Language Association .,9-5
drop,N,It was a miracle that he survived the drop from that height .,"That was a long drop , but fortunately I did n't break any bones .",8-4
precaution,N,He put an ice pack on the injury as a precaution .,To take precautions against risks of accident .,10-2
experience,N,A surprising experience .,Experience is the best teacher .,2-0
undo,V,Undo the shoelace .,A single mistake undid the President and he had to resign .,0-3
relief,N,He has been on relief for many years .,Was the relief supposed to be protection from future harm or compensation for past injury ?,4-2
adhocracy,N,The need for informational flexibility can lead to adhocracy .,The choice between bureaucracy and adhocracy represents a common dilemma .,8-5
nightlife,N,In the summer the nightlife shifts to the dance clubs .,A futile search for intelligent nightlife .,4-5
pencil,N,An eyebrow pencil .,This artist 's favorite medium is pencil .,2-6
poster,N,I saw a poster for it on the side of a bus .,A poster advertised the coming attractions .,3-1
word,N,We had a word or two about it .,"There was then a long discussion of whether to capitalize words like "" east "" .",3-10
want,V,Want the strength to go on living .,Flood victims wanting food and shelter .,0-2
gauntlet,N,Threw down the gauntlet .,Took up the gauntlet .,3-3
bull,N,He was a bull of a man .,He made a bad bull of the assignment .,3-4
flick,V,Flick a piece of paper across the table .,He flicked his Bic .,0-1
treatment,N,His treatment of the race question is badly biased .,His treatment of space borrows from Italian architecture .,1-1
authority,N,She lost all her respect and authority after turning up drunk to the meeting .,This book is the final authority on the life of Milton .,6-5
grunt,N,He went from grunt to chairman in six years .,Infantrymen in Vietnam were called grunts .,3-5
toast,N,That toaster can make wonderful toasts .,I ate a piece of toast for breakfast .,5-5
hour,N,We live an hour from the airport .,It was their finest hour .,3-4
dig,N,They set up camp next to the dig .,She takes a dig at me every chance she gets .,7-3
dish,N,They served me a dish of rice .,We gave them a set of dishes for a wedding present .,4-6
death,N,The animal died a painful death .,He seemed more content in death than he had ever been in life .,5-5
upgrade,N,The power plant received a new upgrade .,"With my phone company , I get a free upgrade every twelve months if I keep topping up 10 pounds a month .",6-9
afflict,V,Afflict with the plague .,She was afflicted by the death of her parents .,0-2
post,V,Post a warning at the dump .,The newspaper posted him in Timbuktu .,0-2
group,N,There is a group of houses behind the hill .,A group of people gathered in front of the Parliament to demonstrate against the Prime Minister 's proposals .,3-1
pinnacle,V,Pinnacle a pediment .,He did not want to be pinnacled .,0-6
bite,V,Gunny invariably tried to bite her .,"As soon as you bite that sandwich , you 'll know how good it is .",4-4
finalize,V,Let 's finalize the proposal .,"As soon as we get the plane tickets , we 'll finalize our reservations with the hotel .",2-11
lie,V,Lie down on the bed until you feel better .,She lied when she told me she was only 29 .,0-1
agency,N,She has free agency .,Central Intelligence Agency .,3-2
string,N,A string of islands .,The strings played superlatively well .,1-1
gnash,V,To gnash the air in fury .,To gnash a carpet .,1-1
twist,V,Do n't twist my words .,Twist the dough into a braid .,2-0
invite,V,Can I invite you for dinner on Sunday night ?,The organizers invite submissions of papers for the conference .,2-2
brush,V,Brush aside the objections .,Brush the dust from the jacket .,0-0
dad,N,He had n't seen his dad in years .,"Dad , happy Father 's Day !",5-0
render,V,Render the brick walls in the den .,The face of the child is rendered with much tenderness in this painting .,0-6
kinship,N,Anthropology 's kinship with the humanities .,Felt a deep kinship with the other students .,2-3
agency,N,The superintendence and agency of Providence in the natural world . --Woodward .,The Central Intelligence Agency .,3-3
breakdown,N,"After so much stress , he suffered a breakdown and simply gave up .",His warning came after the breakdown of talks in London .,8-5
combust,V,We combust coal and other fossil fuels .,The professor combusted when the student did n't know the answer to a very elementary question .,1-2
writing,N,Writing was a form of therapy for him .,The idea occurs with increasing frequency in Hemingway 's writings .,0-9
inadequacy,N,Juvenile offenses often reflect an inadequacy in the parents .,The inadequacy of unemployment benefits .,5-1
step,N,Always a step behind .,Keep in step with the fashions .,2-2
flip,V,I 'd flip if anyone broke my phone .,He flipped when he heard that he was accepted into Princeton University .,2-1
reappearance,N,The reappearance of Halley 's comet .,His reappearance as Hamlet has been long awaited .,1-1
usage,N,English usage .,A usage borrowed from French .,1-1
gig,N,They played a gig in New Jersey .,Our guitar player had another gig so we had to get a sub .,3-5
demon,N,She 's a demon at math .,He worked like a demon to finish the job on time .,3-4
eccentricity,N,"For an ellipse , the eccentricity is the ratio of the distance from the center to a focus divided by the length of the semi - major axis .",A circle is an ellipse with zero eccentricity .,5-7
allowance,N,My weekly allowance of two eggs .,Travel allowance .,2-1
transplant,V,These delicate plants do not transplant easily .,Transplant the young rice plants .,5-0
middle,N,I woke up in the middle of the night .,"A whole is that which has beginning , middle , and end - Aristotle .",5-8
spin,N,The campaign put a favorable spin on the story .,The skaters demonstrated their spins .,5-4
heel,V,Heel a golf ball .,Heel that dance .,0-0
socialization,N,"Force socialization rarely creates strong friendships , but there are exceptions .",There was too much socialization with the enlisted men .,1-4
attend,V,I rarely attend services at my church .,She attends class regularly .,2-1
oppression,N,The tyrant 's oppression of the people .,The oppression of the poor by the aristocracy was one cause of the French Revolution .,3-1
tap,V,Tap a cask of wine .,He tapped a new barrel of beer .,0-1
touch,V,"Please can I have a look , if I promise not to touch ?",Carrie touched his shoulder with the stick .,12-1
work,N,He was indebted to the pioneering work of John Dewey .,The work of an active imagination .,6-1
construction,N,The engineer marvelled at his construction .,Construction is underway on the new bridge .,5-0
catch,V,I would love to have dinner but I have to catch a plane .,We caught something of his theory in the lecture .,10-1
segregate,V,Experiments show clearly that genes segregate .,Many towns segregated into new counties .,5-2
border,N,The rug had a wide blue border .,The borders of the garden .,6-1
scavenge,V,Hyenas scavenge .,She scavenged the garbage cans for food .,1-1
manipulation,N,His manipulation of his friends was scandalous .,He found that the new manager was known for his Machiavellian manipulations in his last two positions .,1-11
flood,V,Flood the market with tennis shoes .,The swollen river flooded the village .,0-3
steam,V,Just steam the vegetables .,Her indifference to his amorous advances really steamed the young man .,1-7
foundation,N,He lacks the foundation necessary for advanced study .,"The Wikimedia Foundation , Inc. is the parent organization of the Wiktionary collaborative project .",3-2
twilight,N,I could just make out her face in the twilight .,He loved the twilight .,9-3
rank,N,The strike was supported by the union rank and file .,He rose from the ranks to become a colonel .,7-4
delight,N,The new car is a delight .,His delight to see her was obvious to all .,5-1
path,N,The path of virtue .,Our paths in life led us apart .,1-1
get,V,The operator could n't get Kobe because of the earthquake .,I 'll get this finished by lunchtime .,4-2
forwarding,N,The forwarding of resumes to the personnel department .,The forwarding of mail to a new address is done automatically .,1-1
fail,V,Did I fail the test ?,She studied hard but failed nevertheless .,2-4
dimple,N,The accident created a dimple in the hood of the car .,There are approximately 336 dimples on a golf ball .,4-4
pity,N,It 's a pity he could n't do it .,The blind are too often objects of pity .,3-7
rail,N,He was concerned with rail safety .,He traveled by rail .,4-3
preempt,V,Discussion of the emergency situation will preempt the lecture by the professor .,Live broadcast of the presidential debate preempts the regular news hour .,6-6
assumption,N,The Nazi assumption of power in 1934 .,He acquired all the company 's assets for ten million dollars and the assumption of the company 's debts .,2-13
brother,N,I would like to thank the brother who just spoke .,None of his brothers would betray him .,6-3
recruit,V,Recruit new soldiers .,The lab director recruited an able crew of assistants .,0-3
upset,V,Truman upset Dewey in the 1948 US presidential election .,The foreign team upset the local team .,1-3
show,N,A show of impatience .,A good show of looking interested .,1-2
fondler,N,The woman charged that her jailer was a fondler .,Not all fondlers are sexual perverts .,8-2
body,N,The whole body filed out of the auditorium .,The student body .,2-2
destroy,V,Hooligans destroy unprovoked .,The fire destroyed the house .,1-2
confusion,N,The army retreated in confusion .,A confusion of impressions .,4-1
stress,N,Some people put the stress on the first syllable of “ controversy ” ; others put it on the second .,The intensity of stress is expressed in units of force divided by units of area .,4-3
inject,V,Inject hydrogen into the balloon .,Now lie back while we inject you with the anesthetic .,0-5
custody,N,He was mistreated while in police custody .,He is in the custody of police .,6-4
gesture,N,A political gesture .,A gesture of defiance .,2-1
cleat,V,Cleat running shoes for better traction .,Cleat a line .,0-0
repair,V,One can never fully repair the suffering and losses of the Jews in the Third Reich .,She repaired her TV set .,4-1
fold,V,Fold up the newspaper .,Tony folded the flaps open .,0-1
piano,N,Most of the works by Frédéric Chopin are for the piano .,"He can play "" Happy Birthday "" on the piano .",10-9
decussate,V,The fibers decussate .,This nerve decussates the other .,2-2
grind,V,Grind lenses for glasses and cameras .,Grind an axe .,0-0
wail,V,Wail in self - pity .,She wailed with pain .,0-1
form,V,"By adding "" -ness "" , you can form a noun from an adjective .",Form cylinders from the dough .,8-0
pronunciation,N,That is the correct pronunciation .,The pronunciation of Chinese is difficult for foreigners .,4-1
criticism,N,The senator received severe criticism from his opponent .,The politician received a lot of public criticism for his controversial stance on the issue .,4-7
wrong,N,Injustice is a heinous wrong .,He feels that you are in the wrong .,4-7
fatigue,N,Growing fatigue was apparent from the decline in the execution of their athletic skills .,He was hospitalized for extreme fatigue .,1-5
cross,N,A mule is a cross between a horse and a donkey .,That is his cross to bear .,4-3
handle,V,Do n't handle the merchandise .,"About his altar , handling holy things - John Milton .",2-4
hail,V,Hail a cab .,He was hailed as a hero .,0-2
stabilize,V,The country will stabilize after the next election ends .,The economy stabilized .,3-2
expect,V,I expect to receive wages .,We were expecting a visit from our relatives .,1-2
shower,N,The game was interrupted by a brief shower .,A little shower of rose petals .,7-2
promulgation,N,The promulgation was written in English .,His promulgation of the policy proved to be premature .,1-1
hostility,N,He could not conceal his hostility .,He could no longer contain his hostility .,5-6
clap,V,The children began to clap in time with the music .,The big bird clapped its wings .,4-3
clime,N,Plants from a cold clime travel best in winter .,"After working hard all of his life , Max retired to warmer climes in Florida .",4-12
deal,N,A deal of trouble .,He made a deal with the devil .,1-3
listen,V,Please listen carefully as I explain .,I like to listen to music .,1-3
party,N,The party of the first part .,He planned a party to celebrate Bastille Day .,1-3
section,N,The history of this work is discussed in the next section .,A graduate student taught sections for the professor 's lecture course .,10-4
conserve,V,Conserve your energy for the ascent to the summit .,Mom always conserved the strawberries we grew in the backyard .,0-2
joy,N,A joy to behold .,The joys and demands of parenthood .,1-1
create,V,Create a poem .,Create one a peer .,0-0
surface,N,It was not what it appeared to be on the surface .,The cloth had a pattern of red dots on a white surface .,10-11
setting,N,A place setting of sterling flatware .,He changed the setting on the thermostat .,2-3
bane,N,The bane of my existence .,The bane of my life .,1-1
license,N,The intolerable license with which the newspapers break ... the rules of decorum - Edmund Burke .,When liberty becomes license dictatorship is near - Will Durant .,2-3
bend,V,The stick does not bend .,Bend your knees .,4-0
act,V,"She wants to act Lady Macbeth , but she is too young for the role .",I started acting at the age of eleven in my local theatre .,3-2
worship,V,They worship in the traditional manner .,Many Hindus worship Shiva .,1-2
minute,N,"Wait a minute , I 'm not ready yet !",It only takes a minute .,2-4
glow,N,A glow of regret .,The glow of new love .,1-1
prohibition,N,They were restrained by a prohibition in their charter .,In 1920 the 18th amendment to the Constitution established prohibition in the US .,5-9
near,V,They are nearing the coast .,The ship nears the land .,2-2
distance,N,I could see it in the distance .,The distance from New York to Chicago .,6-1
strand,N,A strand of pearls .,He tried to pick up the strands of his former life .,1-6
activity,N,The level of activity declines with age .,His sphere of activity .,3-3
delay,N,Instant replay caused too long a delay .,The delay before the echo of a sound .,6-1
dip,V,Dip the brush into the paint .,She dipped her knee .,0-1
bye,N,He had a bye in the first round .,Craig 's Crew plays the bye next week .,3-5
subsidy,N,A subsidy for research in artificial intelligence .,Manufacturing firms are supported by government subsidies in some countries .,1-6
fuel,V,"Fuel aircraft , ships , and cars .",Fuel the debate on creationism .,0-0
club,N,Each club played six home games with teams in its own division .,He played the drums at a jazz club .,1-7
longevity,N,Had unusual longevity in the company .,Her longevity as a star .,2-1
appreciate,V,I appreciate your efforts .,The yen appreciated again !,1-2
preponderance,N,The preponderance of good over evil .,The preponderance of wealth and power .,1-1
youth,N,Youth everywhere rises in revolt .,Her youth and beauty is what attracted him to her .,0-1
probity,N,In a world where financial probity may not be widespread .,He enjoys an exaggerated reputation for probity .,5-6
explanation,N,The explanation was very simple .,The explanation was long and drawn - out .,1-1
inject,V,Inject heroin .,He injected new life into the performance .,0-1
force,N,A force out was recorded on the scorecard .,A public force is necessary to give security to the rights of citizens .,1-2
preserve,V,Preserve the peace in the family .,To preserve silence .,0-1
restraint,N,The room was simply decorated with great restraint .,The car did not have proper restraints fitted .,7-6
log,N,They kept a log of all transmission by the radio station .,An email log .,3-2
cost,V,These shoes cost $ 100 .,The bill will cost them 500 million dollars .,2-3
professionalization,N,The professionalization of warfare .,The professionalization of American sports .,1-1
pocket,V,Lydia put the change in her left pocket .,Lydia pocketed the change .,7-1
stab,N,He took a stab at forecasting .,She felt a stab of excitement .,3-3
roll,N,The roll of a ball .,Look at the roll of the waves .,1-3
property,N,He is a man of property .,That hat is my property .,5-4
success,N,His success in the marathon was unexpected .,The election was a remarkable success for the Whigs .,1-5
sexualize,V,Some languages sexualize all nouns and do not have a neuter gender .,The god was sexualized and married to another god .,2-3
wish,N,It was his last wish .,They should respect the wishes of the people .,4-4
sultriness,N,The sultriness of her look was unmistakable .,The sultriness of lust was in the air .,1-1
crisis,N,They went bankrupt during the economic crisis .,After the crisis the patient either dies or gets better .,6-2
reality,N,The reality of his situation slowly dawned on him .,The reality of the crash scene on TV dawned upon him only when he saw the victim was no actor but his friend .,1-1
defense,N,They died in the defense of Stalingrad .,They were developed for the defense program .,4-5
forbid,V,I forbid you to call me late at night .,The rules forbid it .,1-2
update,V,I need to update my records to take account of the most recent transaction .,We updated the kitchen in the old house .,3-1
sound,N,The main body of the sound ran parallel to the coast .,He strained to hear the faint sounds .,5-6
system,N,That language has a complex system for indicating gender .,They have to operate under a system they oppose .,5-6
easiness,N,The very easiness of the deed held her back .,There was an easiness between them .,2-3
mire,V,To mire a horse or wagon .,Our people should not be mired in the past .,1-5
spend,V,Spend money .,He spends far more on gambling than he does on living proper .,0-1
reverence,N,The French treat food with gentle reverence .,The Chinese reverence for the dead .,6-2
buy,V,$ 50 wo n't even buy a dress .,FMC has bought 565 .,5-2
instruction,N,Students receive instruction in the arts and sciences .,Instruction will be provided on how to handle difficult customers .,2-0
extension,N,The dancer was praised for her uncanny extension .,Good extension comes from a combination of training and native ability .,7-1
believe,V,We did n't believe his stories from the War .,I believed his report .,3-1
heritage,N,The world 's heritage of knowledge .,A heritage of freedom .,3-1
caller,N,- Who 's the caller ?,There were so many callers that he finally disconnected the telephone .,4-4
base,N,He told the painter that he wanted a yellow base with just a hint of green .,Bases include oxides and hydroxides of metals and ammonia .,9-0
power,N,He needed a lot of power to hit the ball out of the stadium .,The mysterious presence of an evil power .,5-6
portmanteau,N,` brunch ' is a well - known portmanteau .,` motel ' is a portmanteau word made by combining ` motor ' and ` hotel ' .,8-5
promise,V,I promise you my best effort .,I promised somebody my time .,1-1
pierce,V,To pierce a mystery .,The path pierced the jungle .,1-2
